title,status,area,name,re_date,pre_date,corporation
행복주택,모집중,충청북도,"청주동남A5행복주택 추가입주자 모집(자격완화,선착순동호지정)",2022-05-27,2022-08-26,LH
매입임대,모집중,충청북도,(충북청주시)기존주택 등 매입임대주택 예비입주자 모집 공고,2022-05-26,2022-08-31,LH
전세임대,모집중,충청북도,2022년 특화형 전세임대 청년 4순위 입주자 정기모집 공고(보은군),2022-05-23,2022-07-31,LH
전세임대,모집중,충청북도,2022년 특화형 전세임대 청년 4순위 입주자 추가모집 공고(진천군),2022-05-23,2022-07-31,LH
전세임대,모집중,충청북도,2022년 특화형 기존주택 전세임대 3순위 입주자 추가모집공고(진천군,2022-05-23,2022-07-31,LH
전세임대,모집중,충청북도,2022년 특화형 기존주택 전세임대 3순위 입주자 모집공고(보은군),2022-05-23,2022-07-31,LH
전세임대,모집중,충청북도,2022년 특화형 전세임대 신혼부부 4순위 입주자 정기모집 공고(보은군),2022-05-23,2022-07-31,LH
전세임대,모집중,충청북도,2022년 특화형 전세임대 신혼부부 4순위 입주자 추가모집 공고(진천군),2022-05-23,2022-07-31,LH
국민임대,모집중,충청북도,"진천광혜원 LH 2단지 국민임대주택 추가모집 공고(입주자격 완화, 단독세대주 신청면적제한 배제)",2022-05-20,2022-09-23,LH
영구임대,모집중,충청북도,진천광혜원 LH 2단지 영구임대주택 추가모집(소득 150% 완화) 공고,2022-05-20,2022-09-23,LH
