title,status,area,name,re_date,pre_date,corporation
매입임대,모집중,대전광역시외 1개 지역,[대전충남] 기존주택 등 매입임대주택 입주자 모집 공고,2022-05-30,2022-07-25,LH
행복주택,모집중,충청남도,당진우강송산 A1BL 행복주택 자격완화 입주자 추가모집 공고,2022-05-30,2022-09-26,LH
행복주택,모집중,충청남도,충남 꿈비채 천안남산 행복주택 입주자 모집,2022-05-30,2022-09-16,충남개발공사
영구임대,모집중,충청남도,[정정공고]보령명천LH1단지(A-1BL) 공공실버주택 입주자 및 예비자 추가모집,2022-05-26,2022-10-13,LH
영구임대,모집중,충청남도,보령명천LH1단지(A-1BL) 공공실버주택 입주자 및 예비자 추가모집,2022-05-26,2022-10-13,LH
영구임대,모집중,충청남도,보령명천LH1단지(A-1BL) 영구임대 입주자 및 예비자 추가모집,2022-05-26,2022-10-13,LH
국민임대,모집중,충청남도,보령명천LH1단지(A-1BL) 국민임대 입주자격완화 입주자 및 예비자 추가모집,2022-05-26,2022-10-13,LH
국민임대,모집중,충청남도,[정정공고]천안아산지역 국민임대주택 예비입주자 모집공고(2022.05.16),2022-05-16,2022-09-26,LH
국민임대,모집중,충청남도,천안아산지역 국민임대주택 예비입주자 모집공고(2022.05.16),2022-05-16,2022-09-26,LH
국민임대,모집중,충청남도,논산시지역 국민임대주택 예비입주자 모집 공고(22.05.16),2022-05-16,2022-09-08,LH
