title,status,area,name,re_date,pre_date,corporation
매입임대,모집중,대전광역시외 1개 지역,[대전충남] 기존주택 등 매입임대주택 입주자 모집 공고,2022-05-30,2022-07-25,LH
국민임대,모집중,대전광역시,대전광역시 국민임대주택 예비입주자 모집공고(공고일:2022.05.16),2022-05-16,2022-09-08,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
매입임대,모집중,대전광역시,대전도시공사 매입임대주택 상시모집 공고,2022-04-25,2022-06-30,대전도시공사
매입임대,모집중,대전광역시,2022년 청년 매입임대주택 선착순 입주자 모집 공고,2022-04-18,2022-06-30,대전도시공사
매입임대,모집중,대전광역시,2022년 청년 매입임대주택 예비입주자 모집공고,2022-04-04,2022-06-30,대전도시공사
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
매입임대,모집중,서울특별시외 16개 지역,[정정공고][정정공고][전국] 자립준비청년(보호종료아동) 매입임대 입주자 수시모집 공고,2022-01-14,2022-12-31,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
