title,status,area,name,re_date,pre_date,corporation
행복주택,모집중,강원도,삼척당저 행복주택 입주자격완화 추가입주자 모집,2022-06-02,2022-11-04,LH
행복주택,모집중,강원도,강릉유천 행복주택 추가 입주자 모집,2022-05-30,2022-10-21,LH
행복주택,모집중,강원도,원주태장2 A-1블록 행복주택 입주자격완화 추가 입주자 모집,2022-05-26,2022-10-21,LH
국민임대,모집중,강원도,"철원갈말(29A,29B,30) 지역 22년 국민임대주택 예비입주자 모집",2022-05-16,2022-09-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
국민임대,모집중,강원도,원주지역 건설임대(부도매입)주택 입주자 모집(흥업경동),2022-04-20,2022-07-31,LH
국민임대,모집중,강원도,원주지역 건설임대(부도매입)주택 입주자 모집(백운2차),2022-04-20,2022-07-31,LH
국민임대,모집중,강원도,원주지역 건설임대(부도매입)주택 입주자 모집(문막이화),2022-04-20,2022-07-31,LH
국민임대,모집중,강원도,춘천산수빌 국민임대아파트 입주자모집공고(입주자격완화),2022-04-05,2022-06-30,강원도개발공사
