title,status,area,name,re_date,pre_date,corporation
행복주택,모집중,광주광역시,서림마을 행복주택 잔여세대 및 예비입주자 모집공고,2022-06-02,2022-08-29,광주광역시도시공사
국민임대,모집중,광주광역시,광주송화3 국민임대주택 입주자격완화 예비입주자 모집(2022.05.17),2022-05-17,2022-09-08,LH
국민임대,모집중,광주광역시,광주광역시 국민임대주택 예비입주자 모집(2022.05.16),2022-05-16,2022-09-08,LH
매입임대,모집중,광주광역시,[정정공고][광주광역시 광산구] 기존주택 등 매입임대주택 입주자 모집 공고,2022-04-26,2022-06-17,LH
매입임대,모집중,광주광역시,[광주광역시 광산구] 기존주택 등 매입임대주택 입주자 모집 공고,2022-04-26,2022-06-17,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
국민임대,모집중,광주광역시,하남2지구다사로움1단지(국민임대) 예비입주자 상시모집공고,2022-03-25,2022-06-30,광주광역시도시공사
국민임대,모집중,광주광역시,신창도시공사아파트(국민임대) 예비입주자 상시모집공고,2022-03-25,2022-06-30,광주광역시도시공사
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
