title,status,area,name,re_date,pre_date,corporation
매입임대,모집중,경상북도,안동시 매입임대주택 예비입주자 모집 공고,2022-06-02,2022-09-30,LH
행복주택,모집중,경상북도,"포항블루밸리 행복주택 입주자 추가모집(자격완화,선착순동호지정,선계약후검증)",2022-05-27,2022-12-31,LH
행복주택,모집중,경상북도,경산하양 A-3블록 행복주택 입주자격 완화 예비입주자 모집,2022-05-27,2022-10-13,LH
50년임대,모집중,경상북도,경산백천1단지 50년공공임대주택 예비입주자 모집공고,2022-05-25,2022-08-19,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
매입임대,모집중,서울특별시외 16개 지역,[정정공고][정정공고][전국] 자립준비청년(보호종료아동) 매입임대 입주자 수시모집 공고,2022-01-14,2022-12-31,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 신혼부부 전세임대Ⅱ 입주자 수시모집 공고,2022-01-14,2022-12-30,LH
