title,status,area,name,re_date,pre_date,corporation
행복주택,모집중,경기도,안산 선부 행복주택 예비입주자 모집공고,2022-05-31,2022-09-23,안산도시공사
행복주택,모집중,경기도,평택시·안성시 지역 행복주택 예비입주자 모집(2022.05.30),2022-05-30,2022-10-13,LH
행복주택,모집중,경기도,[정정공고]화성동탄2 A57-1블록 행복주택 입주자격완화 추가모집,2022-05-27,2022-09-20,LH
매입임대,모집중,인천광역시외 1개 지역,"[정정공고]2022년 1차 인천,파주권 기존주택등 매입임대주택 입주자 모집",2022-05-27,2022-07-06,LH
행복주택,모집중,경기도,남양뉴타운 B9 · B10블록 행복주택 입주자격완화 추가모집 공고,2022-05-27,2022-09-21,LH
행복주택,모집중,경기도,화성동탄2 A104블록 신혼희망타운 행복주택 입주자격완화 추가모집,2022-05-27,2022-09-21,LH
행복주택,모집중,경기도,화성동탄2 A57-1블록 행복주택 입주자격완화 추가모집,2022-05-27,2022-09-20,LH
매입임대,모집중,인천광역시외 1개 지역,"2022년 1차 인천,파주권 기존주택등 매입임대주택 입주자 모집",2022-05-27,2022-07-06,LH
매입임대,모집중,경기도,[정정공고][정정공고][경기 수원·용인·여주·광주·이천·평택] 다자녀 매입임대 예비입주자 모집공고,2022-05-25,2022-07-12,LH
매입임대,모집중,경기도,[경기 수원·용인·여주·광주·이천] 다자녀 매입임대 예비입주자 모집공고,2022-05-25,2022-07-12,LH
