title,status,area,name,re_date,pre_date,corporation
국민임대,모집중,경상남도,진주시 지역 국민임대 예비입주자 모집 공고(`22.06.03),2022-06-03,2022-09-23,LH
국민임대,모집중,경상남도,통영안정 국민임대주택 입주자 추가모집,2022-05-26,2022-08-25,LH
영구임대,모집중,경상남도,통영안정 영구임대주택 입주자 추가모집,2022-05-26,2022-08-25,LH
행복주택,모집중,경상남도,김해진영 천년나무2단지 입주자격완화 및 동호지정 입주자모집,2022-05-26,2022-06-09,LH
국민임대,모집중,경상남도,진주 정촌올리움 국민임대주택 예비입주자 모집 공고,2022-05-25,2022-09-16,경남개발공사
매입임대,모집중,경상남도,양산시 매입임대주택 예비입주자 모집 공고(22.5.20.),2022-05-20,2022-07-31,LH
국민임대,모집중,경상남도,개나리3차 시영임대아파트 입주(대기)자 모집공고,2022-05-18,2022-08-19,창원시
국민임대,모집중,경상남도,양산시 지역 국민임대주택 예비입주자 모집 공고(‘22.05.16),2022-05-16,2022-09-20,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
