title,status,area,name,re_date,pre_date,corporation
매입임대,모집중,세종특별자치시,세종형 쉐어하우스(금암) 입주자 추가 모집 공고,2022-05-18,2022-08-16,세종특별자치시
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
매입임대,모집중,서울특별시외 16개 지역,[정정공고][정정공고][전국] 자립준비청년(보호종료아동) 매입임대 입주자 수시모집 공고,2022-01-14,2022-12-31,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 신혼부부 전세임대Ⅱ 입주자 수시모집 공고,2022-01-14,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 신혼부부 전세임대Ⅰ 입주자 수시모집 공고,2022-01-14,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,2022년 신혼부부 전세임대Ⅰ 입주자 수시모집 공고,2022-01-14,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집 공고,2022-01-14,2022-12-30,LH
전세임대,모집완료,서울특별시 외 16개 지역,2022 다자녀 전세임대 1순위 입주자 모집 공고,2022-05-02,2022-07-31,LH
