class_1,class_2,description
기존주택 전세임대,생계급여 또는 의료급여 수급자 등,"사업대상지역에 거주하는 무주택세대구성원

--- 1순위 : 생계급여 또는 의료급여 수급자, 보호대상한부모가족, 당해 세대의 월평균 소득이 전년도 도시근로자 가구 당 월평균소득의 70% 이하인 장애인, 수급권자 또는 차상위계층 중 최저주거기준 미달자 및 RIR 30% 이상 인 자, 수급권자 또는 차상위계층 중 만 65세 이상인 고령자 
--- 2순위 : 당해 세대의 월평균 소득이 전년도 도시근로자 가구당 월평균소득의 50% 이하인 자, 당해 세대의 월평균 소득이 전년도 도시근로자 가구당 월평균소득 이하인 장애인 

※ 월평균소득 일정액 이하인 세대가 영구임대주택 입주 자산기준을 초과한 경우 제외"
기존주택 전세임대,부도공공 임대아파트 퇴거자,시장등이 긴급히 주거지원이 필요하다고 인정하는 부도공공임대아파트의 임차인으로서 경락을 희망하지 않거나 경락을 받을 수 없어 퇴거하였거나 퇴거할 예정인 무주택세대구성원
기존주택 전세임대,보증거절자,"LH가 임대하는 공공건설임대주택(영구, 국민임대 제외) 입주자로서 기금재수탁자에게 주택도시기금의 대출을 신청하였으나, 주택 신용보증기금에서 보증서 발급이 거절된 무주택세대구성원 중 전년도 도시근로자 가구당 월평균 소득의 50% 이하이며, 임대차 계약서 상 입주일과 주민등록 전입일 중 빠른 날로부터 3개월 이내에 융자를 신청한 자"
기존주택 전세임대,주거취약계층 주거지원,"쪽방, 비닐하우스, 고시원, 여인숙, 노숙인 복지시설, 컨테이너, 움막 거주자는 LH에 신청·선정되거나 주민센터에 신청하여 시장·군수·구청장으로부터, 범죄피해자는 지방검찰청에 신청하여 법무부장관으로부터 주거지원이 필요하다고 인정하여 LH 등 사업시행자에게 통보된 전년도 도시근로자 가구당 월평균소득의 50% 이하인 무주택세대구성원"
기존주택 전세임대,긴급주거지원 대상자,긴급복지지원법에 따라 긴급지원대상자로 선정된 자 중 시장 등이 주거지원이 필요하다고 인정하여 LH에 통보한 자
기존주택 전세임대,공동생활가정 (그룹홈),"저소득 장애인, 보호아동, 노인(중증 노인성질환자 제외), 저소득 미혼모·부 및 저소득 부, 성폭력피해자,가정폭력피해자, 탈성매매 여성, 가출청소년, 갱생보호자, 아동복지시설 퇴소자, 북한이탈주민, 노숙인 등 관계중앙행정기관의 장이 필요하다고 인정하여 지원을 요청하는 자"
청년 전세임대,대학생 또는 취업준비생 (19세~39세),"대학생(입주신청일 현재 해당연도 입학 및 복학 예정자를 포함한다), 대학 또는 「초ㆍ중등교육법」 제2조제3항에 따른 고등ㆍ고등기술학교를 졸업하거나 중퇴한 후 2년 이내인 사람(졸업유예자 포함)으로서 직장에 재직 중이지 않은 사람, 19세 이상 39세 이하인 자 

※무주택자이며 혼인 중인 자는 제외 

--- 1순위 : 생계 · 의료 · 주거급여 수급자, 한부모가족 차상위계층 중 어느 하나에 해당하는 가구의 청년 
--- 2순위 : 본인과 부모의 월평균 소득이 전년도 도시근로자 가구당 월평균 소득의 100% 이하이고, 본인과 부모의 자산이 29,200만원 이하, 자동차 기준 3,496만원 이하인 자 
--- 3순위 : 1,2순위에 해당하지 않는 사람 중 본인의 월평균 소득이 전년도 도시근로자 가구당 월평균 소득 100%이하이고 행복주택(청년) 자산기준 25,400만원 이하, 자동차 기준 3,496만원 이하"
신혼부부 전세임대,신혼부부Ⅰ,"무주택세대 구성원으로서 월평균소득이 전년도 도시근로자 가구원수별 가구당 월평균 소득의 70% 이하(배우자가 소득이 있는 경우 90% 이하)이고, 국민임대주택 자산기준(총자산 29,200만원 이하, 자동차 3,496만원 이하)을 충족하는 신혼부부, 예비신혼부부, 한부모가족, 유자녀 혼인가구 
--- 1순위 : 신청일 현재 임신 중(임신진단서 등으로 확인)이거나 출산(자녀의 출생일기준)·입양(입양신고일 기준)하여 미성년자녀(태아 포함)가 있는 신혼부부, 예비신혼부부, 한부모가족 
--- 2순위 : 자녀가 없는 신혼부부, 예비신혼부부 
--- 3순위 : 유자녀 혼인가구(만6세 이하 자녀)"
신혼부부 전세임대,신혼부부Ⅱ,"무주택세대 구성원으로서 월평균소득이 전년도 도시근로자 가구원수별 가구당 월평균 소득의 100% 이하(배우자가 소득이 있는 경우 120% 이하)이고, 행복주택 신혼부부 자산기준(총자산 29,200만원 이하, 자동차 3,496만원 이하)을 충족하는 신혼부부, 예비신혼부부, 한부모가족, 유자녀 혼인가구 
--- 1순위 : 공고일 기준 임신 중(임신진단서 등으로 확인)이거나 출산(자녀의 출생일기준)·입양(입양신고일 기준)하여 미성년자녀(태아 포함)가 있는 신혼부부, 예비신혼부부, 한부모가족 
--- 2순위 : 자녀가 없는 신혼부부, 예비신혼부부 
--- 3순위 : 유자녀 혼인가구(만6세 이하 자녀)"
소년소녀가정 등 전세지원,소년소녀가정,"국민기초생활보장법에 의한 생계급여 또는 의료급여 수급자 중 18세 미만의 아동으로만 구성된 세대 또는 18세 미만의 아동이 부양능력이 없는 부모와 동거하는 세대로서 아동이 실질적으로 가정을 이끌어가고 있는 세대(시·군·구에서 지정, 읍·면·동에서 관리)"
소년소녀가정 등 전세지원,대리양육가정,"18세 미만의 아동이 국민기초생활보장법상 부양 의무자(친조부모, 외조부모)에 의해 양육되는 세대"
소년소녀가정 등 전세지원,친인척위탁가정,18세 미만의 아동이 국민기초생활보장법상 부양 의무자가 아닌 친·인척에 의해 양육되는 세대
소년소녀가정 등 전세지원,일반가정위탁,18세 미만의 아동이 부양의무가가 일반인의 가정에서 양육되는 세대
소년소녀가정 등 전세지원,교통사고 유자녀가정,"자동차사고로 인하여 사망 또는 중증후유장애를 입은 피해자의 18세 미만의 자녀(고등학교에 재학중인 자녀는 20세 이하인 자 포함)가 있는 세대 

※ 교통안전공단에서 지정·관리"
소년소녀가정 등 전세지원,아동복지시설 퇴소자,"아동복지시설 보호대상아동 중 18세에 달하여 시설에서 퇴소하는 자 및 퇴소한지 5년이 지나지 아니한 자 

※ (해당 지자체에 신고된) 복지시설의 장 또는 아동자립지원사업단의 장이 추천한 자에 한함"
