title,describe,term,dedicated_area,condition
통합공공임대주택,국가나 지방자치단체의 재정이나 주택도시기금의 지원을 받아사회취약계층 등의 주거안정을 목적으로 공급하는 임대주택입니다.,30년,전용 85㎡이하,보증금+임대료(시중시세의 35~90% 수준)
영구임대주택,"생계급여 또는 의료급여 수급자, 국가유공자, 일본군위안부 피해자, 한부모가족 등사회보호계층의 주거안정을 목적으로 건설된 임대주택입니다.",50년,전용 40㎡이하,보증금+임대료(시중시세의 30% 수준)
행복주택,"대학생, 신혼부부, 청년 등을 위해 직장과 학교가 가까운 곳이나대중교통이 편리한 곳에 짓는 임대료가 저렴한 공공임대주택입니다.",30년(입주계층에 따라 거주기간 상이),전용 60㎡이하,보증금+임대료(시중시세의 60~80% 수준)
전세임대주택,도심내 최저소득계층이 현 생활권에서 거주할 수 있도록 기존주택에 대해전세계약을 체결한 후 저렴하게 재임대하는 사업입니다.,20년,전용 85㎡이하,"수도권 1억 1천만원, 광역시 8천만원, 기타지역 6천만원 지원 한도"
매입임대주택,"공공매입임대주택은 국가, 지자체, LH, 지방공사가 매매 등으로소유권을 취득하여 임대하는 주택입니다.",10년/20년/30년,전용 85㎡이하,세부유형별로 차이가 있음
국민임대주택,무주택 저소득층(소득 1~4분위 계층)의 주거안정을 도모하기 위해국가재정과 국민주택기금을 지원받아 건설·공급하는 임대주택입니다.,30년,전용 60㎡이하,보증금+임대료(시중시세의 60~80% 수준)
공공지원민간임대주택,"8년 거주보장, 5% 임대료 인상 제한 및 주거서비스 등 뉴스테이 장점은 살리고, 무주택자 우선 공급, 시세 90~95% 임대료로 일반 공급 및 시세 대비 70~85% 임대료로 단지 20%이상 주거지원계층(청년·신혼부부 등)에게 특별 공급하는 등 공공성을 강화한 민간임대주택입니다.",8년,85㎡ 이하,"일반공급 시세 대비 90~95%, 주거지원계층 특별공급 시세 대비 70~85%"
주거복지동주택,기존 영구임대주택단지 내 여유부지에 임대주택과 주거복지시설을 결합하여 서민 주거안정과 고령자 장애인 등 집중케어를 동시에 충족시키는 주거복지서비스가 강화된 장기공공임대주택입니다.,30~50년,전용 40㎡이하,보증금+임대료
공공기숙사,부족한 대학생의 거주시설을 위해 건설한 원룸 형 기숙사 및 매입한 다가구주택을 대학생에게 저렴하게 공급하는 임대주택으로 학생들의 안전한 생활을 지원하는 사업입니다.,"2년(입주자격 유지 시, 1회 재계약 가능)","기숙사형, 다가구형, 그룹형",보증금+임대료
장기전세주택,"국가, 지방자치단체, 한국토지주택공사, 지방고사가 임대할 목적으로 건설하는 주택으로서 20년의 범위에서 전세계약의 방식으로 공급하는 임대주택입니다.",20년,전용 60㎡이하,보증금(시중시세의 80% 수준)
공공임대주택,"5년·10년 공공임대주택은 임대의무기간(5년·10년)동안 임대 후, 분양전환하는 임대주택입니다. ",5년/10년/50년,전용 85㎡이하 (50년 임대는 50㎡이하),보증금+임대료(시중 전세 시세의 90% 수준)
